"Col","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"num_male_patient",747,849,825,881,979,1216,1410,1448,1630,1526,1400,1435,1508,1509,1672,1704,1926,1880,2153,2091
"male_inci",2.29204381577736,2.59887351536672,2.52757352941176,2.69410721384667,2.98121136453607,3.69582396206918,4.29249878226985,4.39547096500015,4.9349076597033,4.58630120518138,4.20433046037419,4.29062640155479,4.48062752555265,4.47058126444273,4.92692126355493,4.99501670868265,5.625,5.50270744914386,6.36549093811903,6.23341779698912
"age_standardized_inci_male",4.49618826530099,4.86833443912196,4.64826881137226,4.82387951626806,5.13688402235562,6.06397721839526,6.90213127433881,6.85158808328456,7.3828553515813,6.73159255312387,5.97752196027966,5.94160107810021,5.99240151017075,5.78155076414724,6.14084045771414,5.98241711544304,6.49780863177221,6.07900301410022,6.68212778046252,6.23341779698912
"num_male_patient_less65",106,133,107,106,144,174,201,231,328,250,245,266,271,277,315,312,323,337,332,328
"male_inci_less65",0.369106483738422,0.463479230554781,0.374269824058204,0.371408549404345,0.503672612801679,0.609073088770652,0.70694991558807,0.812950906211508,1.15602861875727,0.870716076901644,0.858173666328067,0.933792038194201,0.952347483834692,0.97796921338794,1.11480747451869,1.10712891664597,1.15229567264814,1.21783752529633,1.22962962962963,1.24388486480337
"age_standardized_inci_male_less65",0.83808005743604,1.0078109566287,0.779455354134294,0.742256362541129,0.945130925818034,1.04213464915901,1.13978111216321,1.20604554259155,1.60913970607904,1.17554426714579,1.10912034341436,1.17674352332223,1.17984122773684,1.18422391395471,1.29400792536527,1.21763561820297,1.24205130507594,1.26514547680537,1.24966149581868,1.24388486480337
"num_male_patient_65to79",486,541,525,565,592,760,857,855,929,888,790,802,870,878,965,1033,1113,1128,1303,1344
"male_inci_65to79",15.8771643253839,17.2898689677213,16.5929203539823,17.6617693029072,18.2266009852217,23.3057344372892,26.0170006071645,25.7297622630153,27.7147971360382,25.612921834439,22.0301171221417,21.5302013422819,22.2052067381317,21.4198585020737,22.5730994152047,23.1770249046444,23.7922188969645,23.0816451810927,25.1495850221965,24.2599277978339
"age_standardized_inci_male_65to79",15.4415290983743,16.6739026615304,15.9959567499412,16.8040090510105,17.4214126118372,21.4718170213435,24.3570835142796,24.2395356044388,26.3085340585279,24.3512420325592,21.4288718051092,21.4713093985631,21.9463475647306,21.5085543229927,22.7785031145187,23.263453232825,23.9460161431121,23.1647953470193,25.2062836280902,24.2599277978339
"num_male_patient_80plus",155,175,193,210,243,282,352,362,373,388,365,367,367,354,392,359,490,415,518,419
"male_inci_80plus",25.4934210526316,27.047913446677,28.2576866764275,28.6493860845839,30.9554140127389,33.8942307692308,39.8190045248869,37.9454926624738,36.2135922330097,35.4661791590494,31.3573883161512,29.740680713128,28.6271450858034,26.5965439519159,27.9003558718861,24.3224932249322,32.0052253429131,25.840597758406,31.5468940316687,25.6112469437653
"age_standardized_inci_male_80plus",26.393173056233,27.1148477384629,28.5789233799762,30.042952449124,31.1002391671427,34.8301961669634,40.6716765170873,38.9653301299466,36.3552562194083,36.618254617234,32.1232457345861,30.1530587593813,29.5361306943017,26.6246510066427,27.9216937137104,24.2621134543352,32.124945144505,25.8108611293545,31.5139615603623,25.6112469437653
